Time [ms], Elem0, Elem1, Elem2, Elem3
515, 0, 0.00494943, 0.00419245, -0.0404924
547, 0, 0.00494943, 0.00419245, -0.0404924
578, 0, 0.00494943, 0.00419245, -0.0404924
609, 0, 0.00494943, 0.00419245, -0.0404924
640, 0, 0.00494943, 0.00419245, -0.0404924
671, 0, 0.00494943, 0.00419245, -0.0404924
734, 0, 0.00494943, 0.00419245, -0.0404924
765, 0, 0.00494943, 0.00419245, -0.0404924
796, 0, 0.00494943, 0, -0.0404924
827, 0, 0.00494943, 0, -0.0404924
859, 0, 0.00494943, 0, -0.0404924
890, 0, 0.00494943, 0, -0.0404924
921, 0, 0.00494943, 0, -0.0404924
952, 0, 0.00371207, -0.00209622, -0.0404924
983, 0, 0.00371207, -0.00209622, -0.0404924
1015, 0, 0.00371207, -0.00209622, -0.0404924
1077, 0, 0.00371207, -0.00209622, -0.0404924
1108, 0, 0.00371207, -0.00209622, -0.0404924
1139, 0, 0.00494943, 0.00104811, -0.0404924
1171, 0, 0.00494943, 0.00104811, -0.0404924
1202, 0, 0.00494943, 0.00104811, -0.0404924
1233, 0, 0.00494943, 0.00104811, -0.0404924
1264, 0, 0.00494943, 0.00104811, -0.0404924
1296, 0, 0.00371207, 0.00314433, -0.0404924
1327, 0, 0.00371207, 0.00314433, -0.0404924
1358, 0, 0.00371207, 0.00314433, -0.0404924
1406, 0, 0.00371207, 0.00314433, -0.0404924
1453, 0, 0.00371207, 0.00314433, -0.0404924
1484, 0, 0.00371207, 0.00314433, -0.0404924
1515, 0, 0.00247472, 0.00314433, -0.0404924
1546, 0, 0.00247472, 0.00314433, -0.0404924
1577, 0, 0.00247472, 0.00314433, -0.0404924
1609, 0, 0.00247472, 0.00314433, -0.0404924
1640, 0, 0.00247472, 0.00314433, -0.0404924
1671, 0, 0.00247472, 0.00104811, -0.0404924
1702, 0, 0.00247472, 0.00104811, -0.0404924
1765, 0, 0.00247472, 0.00104811, -0.0404924
1796, 0, 0.00247472, 0.00104811, -0.0404924
1812, 0, 0.00247472, 0.00104811, -0.0404924
1818, 0, 0.00247472, 0.00104811, -0.0404924
1838, 0, 0.00247472, 0.00104811, -0.0404924
1858, 0, 0.00247472, 0.00104811, -0.0404924
1878, 0, 0.00247472, 0.00104811, -0.0404924
1898, 0, 0.00247472, 0.00104811, -0.0404924
1918, 0, 0.00247472, 0, -0.0404924
1973, 0, 0.00247472, 0, -0.0404924
2036, 0, 0.00247472, 0, -0.0404924
2067, 0, 0.00247472, 0, -0.0404924
2098, 0, 0.00247472, 0, -0.0404924
2129, 0, 0.00247472, 0, -0.0404924
2160, 0, 0.00247472, 0, -0.0404924
2192, 0, 0.00247472, 0, -0.0404924
2208, 0, 0.00247472, 0, -0.0404924
2215, 0, 0.00247472, 0, -0.0404924
2236, 0, 0.00247472, 0, -0.0404924
2257, 0, 0.00247472, 0, -0.0404924
2278, 0, 0.00247472, 0, -0.0404924
2319, 0, 0.00247472, 0, -0.0404924
2339, 0, 0.00247472, 0, -0.0404924
2359, 0, 0.00247472, 0.00104811, -0.0404924
2380, 0, 0.00247472, 0.00104811, -0.0404924
2438, 0, 0.00247472, 0.00104811, -0.0404924
2469, 0, 0.00247472, 0.00104811, -0.0404924
2501, 0, 0.00247472, 0.00104811, -0.0404924
2532, 0, 0.00247472, 0.00104811, -0.0404924
2563, 0, 0.00247472, 0.00104811, -0.0404924
2594, 0, 0.00247472, 0.00104811, -0.0404924
2657, 0, 0.00247472, 0.00104811, -0.0404924
2688, 0, 0.00247472, 0.00104811, -0.0404924
2719, 0, 0.00247472, 0.00104811, -0.0404924
2750, 0, 0.00247472, 0.00104811, -0.0404924
2781, 0, 0.00247472, 0.00104811, -0.0404924
2813, 0, 0.00247472, 0.00104811, -0.0404924
2844, 0, 0.00247472, 0.00104811, -0.0404924
2875, 0, 0.00371207, 0.00209622, -0.0404924
2906, 0, 0.00371207, 0.00209622, -0.0404924
2937, 0, 0.00371207, 0.00209622, -0.0404924
3000, 0, 0.00371207, 0.00209622, -0.0404924
3031, 0, 0.00371207, 0.00209622, -0.0404924
3062, 0, 0.00371207, 0.00209622, -0.0404924
3093, -0.000497434, 0.00371207, 0.00209622, -0.0404924
3125, -0.000497434, 0.00371207, 0.00209622, -0.0404924
3156, -0.000497434, 0.00371207, 0.00209622, -0.0404924
3187, -0.000497434, 0.00371207, 0.00209622, -0.0404924
3218, -0.000497434, 0.00371207, 0.00209622, -0.0404924
3249, 0, 0.00371207, 0.00209622, -0.0404924
3281, 0, 0.00371207, 0.00209622, -0.0404924
3343, 0, 0.00371207, 0.00209622, -0.0404924
3374, 0, 0.00371207, 0.00209622, -0.0404924
3405, 0, 0.00371207, 0.00209622, -0.0404924
3438, 0, 0.00371207, 0.00209622, -0.0404924
3469, 0, 0.00371207, 0.00209622, -0.0404924
3500, 0, 0.00371207, 0.00209622, -0.0404924
3531, 0, 0.00371207, 0.00209622, -0.0404924
3563, 0, 0.00371207, 0.00209622, -0.0404924
3594, 0, 0.00371207, 0.00209622, -0.0404924
3625, 0, 0.00371207, 0.00209622, -0.0404924
3687, 0, 0.00371207, 0.00209622, -0.0404924
3719, 0, 0.00371207, 0.00209622, -0.0404924
3750, 0, 0.00371207, 0.00209622, -0.0404924
3781, 0, 0.00371207, 0.00104811, -0.0404924
3812, 0, 0.00371207, 0.00104811, -0.0404924
3843, 0, 0.00371207, 0.00104811, -0.0404924
3875, 0, 0.00371207, 0.00104811, -0.0404924
3906, 0, 0.00371207, 0.00104811, -0.0404924
3937, 0, 0.00494943, 0.00104811, -0.0404924
3968, 0, 0.00494943, 0.00104811, -0.0404924
3999, 0, 0.00494943, 0.00104811, -0.0404924
4062, 0, 0.00494943, 0.00104811, -0.0404924
4093, 0, 0.00494943, 0.00104811, -0.0404924
4124, 0, 0.00494943, 0.00104811, -0.0404924
4155, 0, 0.00494943, 0.00104811, -0.0404924
4187, 0, 0.00494943, 0.00104811, -0.0404924
4218, 0, 0.00494943, 0.00104811, -0.0404924
4249, 0, 0.00494943, 0.00104811, -0.0404924
4280, 0, 0.00494943, 0.00104811, -0.0404924
4311, 0, 0.00494943, 0.00104811, -0.0404924
4343, 0, 0.00494943, 0.00104811, -0.0404924
4405, 0, 0.00494943, 0.00104811, -0.0404924
4436, 0, 0.00494943, 0.00104811, -0.0404924
4467, 0, 0.00494943, 0.00104811, -0.0404924
4499, 0, 0.00494943, 0.00104811, -0.0539899
4530, 0, 0.00494943, 0.00104811, -0.0539899
4561, 0, 0.00494943, 0.00104811, -0.0404924
4592, 0, 0.00494943, 0.00104811, -0.0404924
4623, 0, 0.00494943, 0.00104811, -0.0404924
4655, 0, 0.00494943, 0.00104811, -0.0404924
4686, 0, 0.00494943, 0.00104811, -0.0404924
4748, 0, 0.00494943, 0.00104811, -0.0404924
4780, 0, 0.00494943, 0.00104811, -0.0404924
4811, 0, 0.00494943, 0.00104811, -0.0404924
4842, 0, 0.00494943, 0.00209622, -0.0404924
4873, 0, 0.00494943, 0.00209622, -0.0404924
4904, 0, 0.00494943, 0.00209622, -0.0404924
4936, 0, 0.00494943, 0.00209622, -0.0404924
4967, 0, 0.00494943, 0.00209622, -0.0404924
4998, 0, 0.00371207, 0.00314433, -0.0404924
5029, 0, 0.00371207, 0.00314433, -0.0404924
5092, 0, 0.00371207, 0.00314433, -0.0404924
5123, 0, 0.00371207, 0.00314433, -0.0404924
5154, 0, 0.00371207, 0.00314433, -0.0404924
5185, 0, 0.00371207, 0.00314433, -0.0404924
5216, 0, 0.00371207, 0.00314433, -0.0404924
5248, 0, 0.00371207, 0.00314433, -0.0404924
5279, 0, 0.00371207, 0.00314433, -0.0404924
5310, 0, 0.00371207, 0.00314433, -0.0404924
5341, -0.000497434, 0.00247472, 0.00209622, -0.0404924
5372, -0.000497434, 0.00247472, 0.00209622, -0.0404924
5435, -0.000497434, 0.00247472, 0.00209622, -0.0404924
5466, -0.000497434, 0.00247472, 0.00209622, -0.0404924
5497, -0.000497434, 0.00247472, 0.00209622, -0.0404924
5528, -0.000497434, 0.00247472, 0, -0.0404924
5560, -0.000497434, 0.00247472, 0, -0.0404924
5591, -0.000497434, 0.00247472, 0, -0.0404924
5622, -0.000497434, 0.00247472, 0, -0.0404924
5653, -0.000497434, 0.00247472, 0, -0.0404924
5684, -0.000497434, 0.00247472, -0.00104811, -0.0404924
5716, -0.000497434, 0.00247472, -0.00104811, -0.0404924
5747, -0.000497434, 0.00247472, -0.00104811, -0.0404924
5809, -0.000497434, 0.00247472, -0.00104811, -0.0404924
5840, -0.000497434, 0.00247472, -0.00104811, -0.0404924
5872, 0, 0.00247472, 0.00104811, -0.0404924
5903, 0, 0.00247472, 0.00104811, -0.0539899
5934, 0, 0.00247472, 0.00104811, -0.0539899
5965, 0, 0.00247472, 0.00104811, -0.0539899
5997, 0, 0.00247472, 0.00104811, -0.0539899
6028, 0, 0.00123736, 0.00209622, -0.0539899
6059, 0, 0.00123736, 0.00209622, -0.0539899
6090, 0, 0.00123736, 0.00209622, -0.0539899
6153, 0, 0.00123736, 0.00209622, -0.0539899
6184, 0, 0.00123736, 0.00209622, -0.0539899
6215, 0, 0.00123736, 0.00209622, -0.0539899
6246, 0, 0.00123736, 0.00209622, -0.0539899
6277, 0, 0.00123736, 0.00209622, -0.0539899
6309, 0, 0.00123736, 0.00209622, -0.0404924
6340, 0, 0.00123736, 0.00209622, -0.0404924
6371, 0, 0, 0, -0.0404924
6402, 0, 0, 0, -0.0404924
6433, 0, 0, 0, -0.0404924
6496, 0, 0, 0, -0.0404924
6527, 0, 0, 0, -0.0404924
6558, 0, 0, 0, -0.0404924
6589, 0, 0.00247472, -0.00104811, -0.0404924
6621, 0, 0.00247472, -0.00104811, -0.0404924
6652, 0, 0.00247472, -0.00104811, -0.0404924
6683, 0, 0.00247472, -0.00104811, -0.0404924
6714, 0, 0.00247472, -0.00104811, -0.0404924
6745, 0, 0.00371207, -0.00104811, -0.0404924
6777, 0, 0.00371207, -0.00104811, -0.0404924
6839, 0, 0.00371207, -0.00104811, -0.0404924
6870, 0, 0.00371207, -0.00104811, -0.0404924
6901, 0, 0.00371207, -0.00104811, -0.0404924
6933, 0.000497434, 0.00371207, 0, -0.0404924
6964, 0.000497434, 0.00371207, 0, -0.0404924
6995, 0.000497434, 0.00371207, 0, -0.0404924
7026, 0.000497434, 0.00371207, 0, -0.0404924
7057, 0.000497434, 0.00371207, 0, -0.0404924
7089, 0.000497434, 0.00371207, 0, -0.0404924
7120, 0.000497434, 0.00371207, 0, -0.0404924
7182, 0.000497434, 0.00371207, 0, -0.0404924
7214, 0.000497434, 0.00371207, 0, -0.0404924
7245, 0.000497434, 0.00371207, 0, -0.0404924
7276, 0.000497434, 0.00371207, 0, -0.0404924
7307, 0.000497434, 0.00371207, 0, -0.0404924
7338, 0.000497434, 0.00371207, 0, -0.0404924
7401, 0.000497434, 0.00371207, 0, -0.0404924
7432, 0.000497434, 0.00371207, 0, -0.0404924
7463, 0.000497434, 0.00371207, 0, -0.0404924
7463, 0, 0.00371207, 0.00104811, -0.0404924
7494, 0, 0.00371207, 0.00104811, -0.0404924
7526, 0, 0.00371207, 0.00209622, -0.0404924
7557, 0, 0.00371207, 0.00209622, -0.0404924
7557, 0, 0.00371207, 0.00209622, -0.0404924
7588, 0, 0.00494943, 0.00209622, -0.0404924
7619, 0, 0.00247472, 0.00104811, -0.0404924
7650, 0, 0.00123736, 0.00104811, -0.0404924
7650, -0.000497434, 0, 0.00104811, -0.0404924
7682, -0.000497434, 0, 0.00104811, -0.0404924
7713, -0.000497434, 0, 0.00104811, -0.0404924
7713, -0.000497434, 0, 0.00104811, -0.0404924
7713, -0.000497434, 0, -0.00104811, -0.0404924
7744, -0.000497434, 0, -0.00209622, -0.0404924
7744, 0, 0, -0.00209622, -0.0404924
7775, 0, -0.00123736, -0.00209622, -0.0404924
7775, 0, -0.00123736, -0.00209622, -0.0404924
7806, 0, -0.00123736, -0.00209622, -0.0404924
7806, 0, 0, -0.00314433, -0.0404924
7806, 0, -0.00123736, -0.00314433, -0.0404924
7838, 0, -0.00123736, -0.00314433, -0.0404924
7838, 0, -0.00123736, -0.00314433, -0.0404924
7838, 0, -0.00123736, -0.00314433, -0.0404924
7900, 0, -0.00123736, -0.00314433, -0.0404924
7900, 0, -0.00123736, -0.00314433, -0.0404924
7900, 0, -0.00123736, -0.00314433, -0.0404924
7900, 0, -0.00123736, -0.00314433, -0.0404924
7931, 0, 0, -0.00314433, -0.0404924
7931, 0, 0.00247472, -0.00209622, -0.0404924
7962, 0, 0.00371207, -0.00104811, -0.0404924
7962, 0, 0.00371207, -0.00104811, -0.0404924
8025, 0, 0.00371207, -0.00104811, -0.0404924
8025, 0, 0.00371207, -0.00104811, -0.0404924
8025, 0, 0.00371207, 0, -0.0404924
8056, 0, 0.00371207, 0.00104811, -0.0404924
8056, 0, 0.00371207, 0, -0.0404924
8087, 0, 0.00371207, -0.00209622, -0.0404924
8087, 0, 0.00371207, -0.00209622, -0.0404924
8118, 0, 0.00371207, -0.00209622, -0.0404924
8118, 0, 0.00371207, -0.00209622, -0.0404924
8118, 0, 0.00371207, -0.00104811, -0.0404924
8150, 0, 0.00247472, 0, -0.0404924
8150, 0, 0.00247472, 0.00104811, -0.0404924
8150, 0, 0.00247472, 0.00104811, -0.0404924
8212, 0, 0.00247472, 0.00104811, -0.0539899
8212, 0, 0.00247472, 0.00104811, -0.0539899
8212, 0, 0.00247472, 0.00104811, -0.0539899
8212, 0, 0.00247472, 0.00104811, -0.0539899
8243, 0, 0.00371207, 0.00104811, -0.0539899
8243, 0, 0.00371207, 0.00104811, -0.0539899
8274, 0, 0.00371207, 0.00104811, -0.0539899
8274, 0, 0.00371207, 0.00104811, -0.0539899
8306, 0, 0.00371207, 0.00104811, -0.0539899
8306, 0, 0.00247472, -0.00209622, -0.0539899
8306, 0, 0.00123736, -0.00314433, -0.0539899
8337, 0, 0.00123736, -0.00104811, -0.0539899
8337, 0, 0.00247472, 0.00104811, -0.0539899
8337, 0, 0.00247472, 0.00104811, -0.0539899
8399, 0, 0.00247472, 0.00104811, -0.0539899
8399, 0, 0.00247472, 0.00104811, -0.0539899
8399, 0, 0.00247472, 0.00104811, -0.0539899
8399, 0, 0.00371207, 0.00104811, -0.0539899
8431, 0, 0.00371207, 0.00104811, -0.0539899
8431, 0, 0.00371207, 0.00104811, -0.0539899
8462, 0, 0.00371207, 0.00104811, -0.0404924
8462, 0, 0.00371207, 0.00104811, -0.0404924
8524, 0, 0.00371207, 0.00104811, -0.0404924
8524, 0, 0.00371207, 0.00104811, -0.0404924
8524, 0, 0.00371207, 0.00104811, -0.0404924
8524, 0, 0.00494943, 0.00209622, -0.0404924
8555, 0, 0.00494943, 0.00104811, -0.0404924
8555, 0, 0.00494943, 0.00104811, -0.0404924
